"Код";"Наименование";"Сокращение";"Номер";"Код ППЗ-ПВК";"Код ЕРСЛ";"Признак наличия классов";"Признак наличия курсов";"Код типа";"Признак государственной принадлежности";"Вышестоящее ведомство";"Код ТЕ";"Текстовая запись адреса";"Код адреса";"ФИО руководителя";"Должность руководителя";"Телефон";"Электронная почта";"Сайт";"Состояние подписи";
"000431";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1353 с углубленным изучением английского языка";"ГБОУ СОШ № 1353";"1353";"450000001843;450000001804";"2764";"true";"false";"017";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124498, город Москва, Берёзовая аллея, дом 8А";"3700015";"Дороничева Светлана Владимировна";"директор";"(495) 535-45-31";"s1353@zou.ru";"s1353.zouo.ru";"Запись не подписана";
"000432";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа здоровья"" № 1058";"ГБОУ города Москвы СОШ ""Школа здоровья"" № 1058";"1058";"";"618";"true";"false";"040";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0908";"125363, город Москва, Аэродромная улица, дом 9";"2115998";"Сарайкина Надежда Михайловна";"директор";"(495) 948-66-19";"sch1058@rcsz.ru";"school1058.ucoz.ru";"Запись не подписана";
"000433";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа здоровья"" № 129";"ГБОУ города Москвы СОШ ""Школа здоровья"" № 129";"129";"";"731";"true";"false";"040";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123592, город Москва, улица Кулакова, дом 17-2";"2114755";"Сёмина Виолетта Владимировна";"директор";"(495) 756-25-57";"sch129@rcsz.ru";"sch129.ru";"Запись не подписана";
"000435";"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1463";"ГБОУ ЦО № 1463";"1463";"450000001847";"3329";"true";"false";"042";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125368, город Москва, улица Барышиха, дом 29, корпус 1";"3301468";"Баранушкина Елена Владимировна";"директор";"(495) 754-14-61";"sch1964@rcsz.ru";"sch1463.moy.su";"Запись не подписана";
"000436";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1489";"ГБОУ СОШ № 1489";"1489";"450000001848";"3630";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125430, город Москва, Митинская улица, дом 46, корпус 2";"3301753";"Радченко Татьяна Владимировна";"директор";"(495) 794-28-49";"sch1327@rcsz.ru";"www.sch1489.ru";"Запись не подписана";
"000437";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа с углубленным изучением французского языка № 1286";"ГБОУ СОШ № 1286";"1286";"450000001849;450000001883";"493";"true";"false";"017";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0904";"125480, город Москва, улица Героев Панфиловцев, дом 15";"2136751";"Колоскова Ольга Ивановна";"директор";"(495) 494-01-88";"sch1286@rcsz.ru";"1286.edu.ru";"Запись не подписана";
"000438";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1515";"ГБОУ Гимназия № 1515";"1515";"";"35";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123154, город Москва, улица Народного Ополчения, дом 27, корпус 2";"2114732";"Мещерякова Светлана Вячеславовна";"директор";"(499) 191-45-25";"gym1515@rcsz.ru";"gymnasium1515.ru";"Запись не подписана";
"000439";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1517";"ГБОУ Гимназия № 1517";"1517";"";"38";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123103, город Москва, Живописная улица, дом 11, корпус 1";"2114728";"Вахнеева Анна Алексеевна";"директор";"(499) 720-25-67";"gym1517@rcsz.ru";"gym1517.ru";"Запись не подписана";
"000440";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1519";"ГБОУ Гимназия № 1519";"1519";"";"44";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123631, город Москва, улица Маршала Катукова, дом 21/2";"";"Сирый Николай Иванович";"директор";"(495) 757-37-16";"gym1519@rcsz.ru";"gym1519.ru";"Запись не подписана";
"000441";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1522";"ГБОУ Гимназия № 1522";"1522";"";"46";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123423, город Москва, улица Народного Ополчения, дом 16/4";"";"Воробьева Вера Владимировна";"директор";"(495) 191-25-94";"gym1522@rcsz.ru";"g1522.msk.ru";"Запись не подписана";
"000442";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1538";"ГБОУ Гимназия № 1538";"1538";"";"2581";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125464, город Москва, Новотушинский проезд, дом 8/2";"";"Мухина Наталья Борисовна";"директор";"(495) 751-14-91";"gym1538@rcsz.ru";"vshkole.info/school/list/178";"Запись не подписана";
"000443";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1544";"ГБОУ Гимназия № 1544";"1544";"";"2430";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125222, город Москва, Пенягинская улица, дом 14";"3301181";"Коробова Наталия Федоровна";"директор";"(495) 752-61-11";"gym1544@rcsz.ru";"gymn1544.ru";"Запись не подписана";
"000445";"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1551";"ГБОУ Гимназия № 1551";"1551";"450000001857;450000001920;450000001926";"72";"true";"false";"018";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0908";"125364, город Москва, улица Свободы, дом 42, корпус 2";"3301736";"Куликова Марина Николаевна";"директор";"(495) 493-90-80";"gym1551@rcsz.ru";"gym1551.ru";"Запись не подписана";
"000446";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1425";"ГБОУ СОШ № 1425";"1425";"450000001858";"3667";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125464, город Москва, Митинская улица, дом 14";"3305177";"Долгова Наталья Витальевна";"директор";"(495) 794-87-70";"sch1425@rcsz.ru";"school-1425.ru";"Запись не подписана";
"000447";"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1874";"ГБОУ города Москвы ЦО № 1874";"1874";"";"458";"true";"false";"042";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0907";"123098, город Москва, улица Маршала Новикова, дом 13";"2114759";"Князева Татьяна Александровна";"директор";"(495) 196-53-58";"sch1874@rcsz.ru";"1874.pikenet.ru";"Запись не подписана";
"000448";"Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1700 ""Московский объединенный морской корпус Героев Севастополя""";"ГБОУ кадетская школа № 1700";"1700";"";"2078";"false";"false";"028";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123458, Город Москва, Таллинская улица, дом 12, корпус 4";"2114745";"Введенский Евгений Александрович";"директор";"(495) 756-30-38";"sch1700@rcsz.ru";"momkgs1700.ru";"Запись не подписана";
"000449";"Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1721";"ГБОУ Кадетская школа № 1721";"1721";"450000001861";"3178";"true";"false";"028";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123181, город Москва, Исаковского улица, дом 14, корпус 3";"2114743";"Хмель Александр Павлович";"директор";"(495) 758-40-60";"sch93@rcsz.ru";"";"Запись не подписана";
"000450";"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 8 ""Московский кадетский корпус юстиции""";"ГБОУ Кадетская школа-интернат № 8";"8";"";"2582";"true";"false";"029";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123154, город Москва, улица Маршала Тухачевского, дом 46";"2114884";"Пискарёв Сергей Владимирович";"исполняющий обязанности директора";"(499) 199-01-37";"mkk8@rcsz.ru";"moskadet.ucoz.ru";"Запись не подписана";
"000451";"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1571";"ГБОУ Лицей № 1571";"1571";"450000001863;450000001912;450000001919";"2798";"true";"false";"019";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0904";"125481, город Москва, улица Фомичёвой, дом 1, корпус 1";"2113831";"Варгамян Марина Викторовна";"директор";"(495) 492-35-11";"lic1571@rcsz.ru";"lic1571.ru";"Запись не подписана";
"000452";"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1560";"ГБОУ Лицей № 1560";"1560";"";"292";"true";"false";"019";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123308, город Москва, улица Маршала Тухачевского, дом 17/3";"";"Жданова Серафима Владимировна";"директор";"(495) 946-44-20";"sch1560@rcsz.ru";"lyc1560.ru";"Запись не подписана";
"000453";"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1564";"ГБОУ Лицей № 1564";"1564";"";"2732";"true";"false";"019";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125222, город Москва, улица Рословка, дом 8";"3302769";"Смирнова Татьяна Владимировна";"директор";"(495) 505-97-40";"lic2004@rcsz.ru";"schools.keldysh.ru/lic1564";"Запись не подписана";
"000454";"Государственное бюджетное образовательное учреждение города Москвы Начальная общеобразовательная школа ""Школа здоровья"" № 1090";"ГБОУ НОШ ""Школа здоровья"" № 1090";"1090";"";"1156";"true";"false";"038";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125368, город Москва, 3-й Митинский переулок, дом 12";"2135301";"Василенко Татьяна Васильевна";"директор";"(495) 751-10-09";"sch1090@rcsz.ru";"sh1090.ru";"Запись не подписана";
"000455";"Государственное образовательное учреждение Начальная общеобразовательная школа № 147";"ГОУ НОШ № 147";"147";"";"886";"true";"false";"014";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0907";"123298, город Москва, улица Маршала Бирюзова, дом 5";"2114898";"Мартышкова Лидия Александровна";"директор";"(499) 198-83-01";"sch147@rcsz.ru";"school147.ru";"Запись не подписана";
"000456";"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1764";"ГБОУ Прогимназия № 1764";"1764";"";"2487";"true";"false";"012";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123458, город Москва, улица Исаковского, дом 29/2";"";"Шагова Елена Михайловна";"директор";"(495) 942-98-10";"sch1764@rcsz.ru";"gym1764.narod.ru";"Запись не подписана";
"000457";"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 130";"ГБОУ Прогимназия № 130";"130";"";"3183";"true";"false";"012";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123308, город Москва, Новохорошевский проезд, дом 12";"2114769";"Фомичева Екатерина Гавриловна";"директор";"(499) 191-93-34";"sch130@rcsz.ru";"pro130.ru";"Запись не подписана";
"000458";"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1622";"ГБОУ Прогимназия № 1622";"1622";"";"580";"true";"false";"012";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123592, город Москва, Строгинский бульвар, дом 7/4";"";"Милакова Татьяна Александровна";"директор";"(495) 750-54-16";"uvk1622@rcsz.ru";"schools.keldysh.ru/mirgou1622";"Запись не подписана";
"000460";"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1782";"ГБОУ Прогимназия № 1782";"1782";"";"3292";"true";"false";"012";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125310, город Москва, улица Барышиха, дом 42, корпус 1";"2119427";"Шарапова Оксана Владимировна";"директор";"(495) 794-89-32";"sch1782@rcsz.ru";"1782-school.ucoz.ru";"Запись не подписана";
"000461";"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1938";"ГБОУ Прогимназия № 1938";"1938";"";"2912";"true";"false";"012";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125222, город Москва, Пенягинская улица, дом 14";"3301181";"Мойкина Татьяна Яковлевна";"директор";"(495) 759-51-35";"sch1938@rcsz.ru";"";"Запись не подписана";
"000462";"Государственное образовательное учреждение Средняя образовательная школа-интернат № 11 с углубленным изучением китайского языка";"ГОУ Школа-интернат № 11";"11";"";"102";"true";"false";"023";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123308, город Москва, Карамышевская набережная, дом 38";"2114730";"Яковлева Алла Павловна";"директор";"(495) 199-64-21";"sch11@rcsz.ru";"chinese-school11.ru";"Запись не подписана";
"000464";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 1062";"ГБОУ СОШ № 1062";"1062";"450000001875";"167";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125222, город Москва, Дубравная улица, дом 41, корпус 4";"3300005";"Волкова Светлана Анатольевна";"директор";"(495) 752-69-97";"sch1062@rcsz.ru";"sch1062sz.educom.ru";"Запись не подписана";
"000465";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 1136";"ГБОУ СОШ № 1136";"1136";"450000001876";"850";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123181, город Москва, улица Кулакова, дом 3, корпус 1";"2114756";"Заболотная Людмила Михайловна";"директор";"(495) 750-56-76";"sch1136@rcsz.ru";"sch1136.ru";"Запись не подписана";
"000466";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 138";"ГБОУ СОШ № 138";"138";"450000001877;450000001889;450000003324";"1253";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123154, город Москва, улица Генерала Глаголева, дом 10, корпус 2";"2114904";"Дробышева Татьяна Ивановна";"директор";"(495) 199-00-24";"sch138-2@rcsz.ru";"school-138.ucoz.ru";"Запись не подписана";
"000467";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 69 имени Б.Ш. Окуджавы";"ГБОУ СОШ № 69 им. Б.Ш. Окуджавы";"69";"450000001878";"1026";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123181, город Москва, улица Кулакова, дом 2, корпус 2";"2114753";"Корнилова Ирина Леонидовна";"директор";"(495) 750-10-10";"sch69@rcsz.ru";"schools.keldysh.ru/sch69";"Запись не подписана";
"000468";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа здоровья"" № 738";"ГБОУ СОШ ""Школа здоровья"" № 738";"738";"";"1085";"true";"false";"040";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0907";"123060, город Москва, улица Маршала Конева, дом 10";"2114896";"Калинина Людмила Андреевна";"директор";"(495) 194-19-84";"sch738@rcszl.ru";"school738.ru";"Запись не подписана";
"000469";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 821";"ГБОУ СОШ № 821";"821";"450000001880;450000001907;450000003322";"1203";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0908";"125476, город Москва, Светлогорский проезд, дом 7, корпус 1";"3302800";"Лопатникова Татьяна Викторовна";"директор";"(495) 949-00-16";"sch821@rcsz.ru";"school821.ru";"Запись не подписана";
"000470";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа здоровья"" № 883";"ГБОУ СОШ ""Школа здоровья"" № 883";"883";"";"1459";"true";"false";"040";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0904";"125480, город Москва, Планерная улица, дом 5, корпус 2";"2113821";"Короткова Наталья Ивановна";"директор";"(495) 495-84-28";"sch883@rcsz.ru";"";"Запись не подписана";
"000471";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа надомного обучения"" № 1673 ""Поддержка""";"ГБОУ СОШНО № 1673 ""Поддержка""";"1673";"450000001882";"2177";"true";"false";"037";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123458, город Москва, Таллинская улица, дом 3, корпус 2";"2114673";"Сибирякова Галина Сергеевна";"директор";"(495) 758-67-02";"sch1673@rcsz.ru";"sch1673sz.educom.ru";"Запись не подписана";
"000473";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 100";"ГБОУ СОШ № 100";"100";"";"459";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123308, город Москва, Мневники улица, дом 14 , корпус 1";"2114774";"Калобушкин Николай Алексеевич";"директор";"(495) 191-01-22";"sch100@rcsz.ru";"sto.my1.ru";"Запись не подписана";
"000474";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 1010";"ГБОУ СОШ № 1010";"1010";"";"2283";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123308, город Москва, улица Мнёвники, дом 7, корпус 5";"2114763";"Жданова Ирина Дмитриевна";"директор";"(499) 946-41-92";"sch1010@rcsz.ru";"sch1010.ru";"Запись не подписана";
"000475";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 115";"ГБОУ СОШ № 115";"115";"";"16";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123448, город Москва, Карамышевская набережная, дом 54, корпус 2";"2114781";"Брянцева Ирина Ивановна";"директор";"(499) 197-25-55";"sch115@rcsz.ru";"";"Запись не подписана";
"000476";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 1191";"ГБОУ СОШ № 1191";"1191";"450000001887";"470";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125430, город Москва, Митинская улица, дом 48, корпус 2";"2119537";"Ивлюшкина Галина Александровна";"директор";"(495) 794-25-34";"sch1191@rcsz.ru";"s1191.narod.ru";"Запись не подписана";
"000479";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 1918";"ГБОУ СОШ № 1918";"1918";"";"975";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0902";"125222, город Москва, улица Генерала Белобородова, дом 22";"3301752";"Гребенникова Татьяна Герольевна";"директор";"(495) 753-10-40";"sch1918@rcsz.ru";"";"Запись не подписана";
"000480";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 341";"ГБОУ СОШ № 341";"341";"";"911";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123492, город Москва, Карамышевская набережная, дом 22, корпус 2";"2115031";"Сафонова Людмила Ивановна";"директор";"(499) 191-35-12";"sch341@rcsz.ru";"school341.ucoz.ru";"Запись не подписана";
"000481";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 680";"ГБОУ СОШ № 680";"680";"450000001892;450000001870;450000001874";"761";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0904";"125480, город Москва, бульвар Яна Райниса, дом 4, корпус 2";"2113828";"Майорова Наталия Константиновна";"директор";"(495) 495-45-45";"sch680@rcsz.ru";"school680.ru";"Запись не подписана";
"000482";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 70";"ГБОУ СОШ № 70";"70";"450000001893";"1046";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123592, город Москва, Строгинский бульвар, дом 14, корпус 5";"2114751";"Градова Александра Давыдовна";"директор";"(495) 758-67-00";"sch70@rcsz.ru";"school70.usoz.ru";"Запись не подписана";
"000483";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 702";"ГБОУ СОШ № 702";"702";"";"1050";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0907";"123298, город Москва, улица Маршала Конева, дом 11";"2114895";"Ильинцева Светлана Геннадьевна";"директор";"(499) 194-08-76";"sch702@rcsz.ru";"school702.ucoz.ru";"Запись не подписана";
"000484";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 80";"ГБОУ СОШ № 80";"80";"";"410";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0906";"123103, город Москва, улица Маршала Тухачевского, дом 58, корпус 2";"2114733";"Иванкова Антонина Ивановна";"директор";"(495) 192-53-83";"sch80@rcsz.ru";"gou80.ucoz.ru";"Запись не подписана";
"000485";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 819";"ГБОУ СОШ № 819";"819";"";"1195";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0908";"125362, город Москва, улица Свободы, дом 26";"2113811";"Исмайлова Елена Ивановна";"директор";"(495) 497-03-00";"sch819@rcsz.ru";"shcola819.narod.ru";"Запись не подписана";
"000486";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 827";"ГБОУ СОШ № 827";"827";"450000001897";"729";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0904";"125480, город Москва, улица Героев Панфиловцев, дом 35, корпус 2";"2113823";"Ерохина Татьяна Серафимовна";"директор";"(495) 496-55-29";"sch827@rcsz.ru";"827.znaet.ru";"Запись не подписана";
"000487";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 882";"ГБОУ СОШ № 882";"882";"450000001898";"1350";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0903";"125367, город Москва, Врачебный проезд, дом 12";"2113825";"Сидельникова Лариса Львовна";"директор";"(499) 193-15-51";"sch882@rcsz.ru";"sch882sz.educom.ru";"Запись не подписана";
"000488";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 89 имени А.П. Маресьева";"ГБОУ СОШ № 89";"89";"450000001899";"1386";"true";"false";"016";"true";"Северо-Западное окружное управление образования Департамента образования города Москвы";"0905";"123592, город Москва, улица Кулакова, дом 12 корпус 2";"2114742";"Максимова Галина Борисовна";"директор";"(495) 758-91-15";"sch89@mtu-net.ru";"schools.keldysh.ru/sch89";"Запись не подписана";
